               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045448,            0.065364,            0.016448,             0.68157,             0.60614,             0.68703,             0.45408,            0.041389,            0.038728,            0.010998,              0.0937,              0.0007,              0.0007
                   1,            0.043833,            0.061748,            0.017221,             0.74544,             0.65013,              0.7363,              0.4842,            0.040427,            0.037511,           0.0094666,            0.086441,           0.0014406,           0.0014406
                   2,            0.044738,            0.070195,            0.016027,             0.77185,             0.64483,             0.74146,             0.48449,            0.040037,            0.036675,           0.0084551,            0.079118,           0.0021178,           0.0021178
                   3,            0.043964,            0.062143,            0.013684,             0.72948,             0.67755,             0.75681,             0.50005,            0.039817,             0.03642,           0.0076668,            0.071732,           0.0027317,           0.0027317
                   4,            0.044408,            0.061022,             0.01338,             0.72532,             0.70887,             0.77146,             0.51538,            0.039629,            0.035795,           0.0069989,            0.064282,           0.0032822,           0.0032822
                   5,            0.044501,             0.05642,             0.01382,             0.78966,             0.70347,              0.7875,             0.50799,            0.040974,            0.034294,           0.0064775,            0.056769,           0.0037694,           0.0037694
                   6,            0.044188,             0.05068,            0.013477,             0.75759,             0.72143,             0.78614,             0.49354,            0.041058,            0.033712,           0.0062183,            0.049193,           0.0041932,           0.0041932
                   7,            0.046398,            0.060645,            0.010486,             0.75854,             0.73957,             0.78979,             0.50175,            0.041529,            0.033128,           0.0057229,            0.041554,           0.0045536,           0.0045536
                   8,            0.045624,             0.05887,            0.012594,              0.7927,             0.75386,             0.81195,             0.50533,            0.042311,            0.033005,           0.0054333,            0.033851,           0.0048507,           0.0048507
                   9,            0.043973,             0.05504,            0.010213,              0.7889,             0.74322,             0.81531,             0.53047,            0.041257,            0.032481,           0.0052784,            0.026084,           0.0050844,           0.0050844
                  10,            0.046378,            0.062571,            0.010066,             0.78011,             0.78371,             0.82384,              0.5006,            0.042672,            0.031831,           0.0051319,            0.018255,           0.0052548,           0.0052548
                  11,            0.044824,            0.056051,           0.0098116,             0.83032,             0.72921,             0.82272,             0.55067,            0.039666,            0.031278,           0.0051685,            0.010362,           0.0053618,           0.0053618
                  12,            0.043527,             0.04995,            0.011398,             0.82551,             0.76759,             0.82473,             0.55841,            0.040675,            0.029839,           0.0048023,            0.005248,            0.005248,            0.005248
                  13,            0.044074,            0.055187,            0.010741,             0.81602,             0.75426,              0.8188,             0.54821,            0.040488,            0.029792,           0.0047586,            0.005248,            0.005248,            0.005248
                  14,            0.042987,            0.048537,           0.0092307,             0.85237,             0.77601,             0.83651,             0.56341,            0.038322,            0.029019,            0.004567,            0.004852,            0.004852,            0.004852
                  15,            0.041095,            0.051704,           0.0088603,             0.86352,             0.77688,             0.85086,              0.5846,            0.037454,            0.028602,           0.0043739,            0.004456,            0.004456,            0.004456
                  16,            0.042915,            0.048372,           0.0091731,             0.89334,             0.79079,             0.86599,             0.60767,            0.035948,            0.028412,            0.004312,             0.00406,             0.00406,             0.00406
                  17,            0.038999,            0.048641,           0.0094413,             0.89866,             0.79394,              0.8618,             0.62188,            0.035344,            0.028253,           0.0041573,            0.003664,            0.003664,            0.003664
                  18,            0.038767,            0.048682,            0.008698,             0.89275,             0.80805,             0.86866,              0.6215,            0.034803,            0.028018,            0.004044,            0.003268,            0.003268,            0.003268
                  19,            0.037657,            0.049072,           0.0097123,              0.8898,             0.80834,             0.86609,             0.62996,            0.034641,            0.027647,           0.0038855,            0.002872,            0.002872,            0.002872
                  20,             0.03762,            0.046388,           0.0090773,             0.89949,             0.80798,             0.88025,             0.63827,            0.033843,            0.027326,           0.0037679,            0.002476,            0.002476,            0.002476
                  21,            0.038749,            0.045474,            0.008367,             0.90196,             0.80522,             0.88206,             0.64016,            0.033466,            0.027095,           0.0036712,             0.00208,             0.00208,             0.00208
                  22,            0.038181,            0.049001,           0.0089445,             0.90074,             0.82014,             0.88961,             0.63793,            0.032999,            0.026732,           0.0035834,            0.001684,            0.001684,            0.001684
                  23,            0.036828,            0.045795,           0.0074957,             0.90252,             0.82477,             0.89252,             0.64791,             0.03243,            0.026461,           0.0035136,            0.001288,            0.001288,            0.001288
                  24,            0.035243,            0.048288,           0.0084293,              0.9081,             0.83159,             0.89634,             0.65069,            0.032346,            0.026289,           0.0034608,            0.000892,            0.000892,            0.000892
