               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08224,            0.082781,                   0,             0.55823,             0.52689,              0.5352,             0.23964,            0.059756,            0.067968,                   0,            0.070085,           0.0033239,           0.0033239
                   1,            0.066725,            0.067505,                   0,             0.62477,             0.55239,             0.61356,             0.29096,            0.056599,            0.063286,                   0,            0.039821,           0.0063936,           0.0063936
                   2,            0.062646,            0.064541,                   0,             0.84378,             0.64947,             0.75896,             0.38779,            0.047456,            0.059974,                   0,           0.0092935,           0.0091993,           0.0091993
                   3,            0.057761,            0.063543,                   0,             0.86209,             0.66737,             0.78203,             0.43286,            0.045337,            0.056615,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.054017,            0.060923,                   0,             0.86894,             0.69068,             0.81335,             0.46484,            0.043555,            0.054863,                   0,            0.008812,            0.008812,            0.008812
                   5,             0.05141,            0.059347,                   0,             0.87478,             0.71652,             0.82185,              0.4812,            0.041764,            0.053074,                   0,            0.008416,            0.008416,            0.008416
                   6,            0.049777,            0.058072,                   0,             0.87156,             0.74126,             0.84908,             0.50604,            0.040093,            0.052949,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.048313,            0.056062,                   0,             0.87857,             0.75124,             0.85945,             0.53173,             0.03804,            0.050591,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.046949,            0.055101,                   0,              0.8823,              0.7572,             0.86506,             0.54047,            0.037647,            0.049878,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.045706,            0.054748,                   0,             0.88167,             0.76706,             0.86988,             0.55022,            0.036888,            0.049232,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.044314,            0.053234,                   0,             0.89932,             0.76923,             0.87449,             0.56852,            0.036115,            0.048024,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.043925,            0.052105,                   0,             0.89382,             0.78047,             0.88182,             0.57186,            0.035646,            0.047657,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.043535,            0.052144,                   0,             0.90179,             0.78563,             0.88759,             0.58608,            0.034875,            0.046755,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.042904,            0.051582,                   0,             0.90018,             0.78122,             0.88237,             0.58484,            0.034602,            0.046145,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.042172,            0.051232,                   0,             0.89861,             0.79179,             0.89104,             0.59542,            0.034401,             0.04594,                   0,            0.004852,            0.004852,            0.004852
                  15,             0.04181,            0.050459,                   0,             0.90053,             0.79882,             0.89367,             0.60315,            0.033673,            0.045345,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.041302,            0.050036,                   0,             0.90648,             0.80019,             0.89334,             0.61076,            0.033351,            0.044596,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.040843,            0.049016,                   0,             0.90114,             0.80684,             0.89787,             0.61627,            0.033075,            0.044221,                   0,            0.003664,            0.003664,            0.003664
                  18,             0.04033,             0.04861,                   0,             0.90702,             0.81054,             0.89974,             0.62167,            0.032714,            0.043765,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.039964,            0.047843,                   0,             0.91143,             0.81186,             0.90408,             0.62848,            0.032391,            0.043243,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.039908,            0.048178,                   0,             0.91162,             0.81482,             0.90506,             0.63316,            0.032205,            0.042901,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.039774,            0.047416,                   0,             0.91195,             0.81644,             0.90664,             0.63582,            0.031994,             0.04269,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.039557,            0.046936,                   0,             0.91387,             0.81808,             0.90701,             0.63997,            0.031747,            0.042137,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.039291,            0.046865,                   0,             0.91847,             0.81881,             0.90928,             0.64622,            0.031567,            0.041806,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.039017,            0.045892,                   0,             0.91922,             0.81956,             0.91016,             0.64778,            0.031428,            0.041583,                   0,            0.000892,            0.000892,            0.000892
