               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088934,            0.034153,            0.043652,             0.27618,             0.32724,             0.11174,            0.046326,            0.070851,            0.016206,            0.027623,            0.070545,           0.0032727,           0.0032727
                   1,            0.061976,            0.026972,             0.02912,             0.26155,             0.48201,             0.35639,             0.18672,            0.061198,            0.011852,            0.022282,            0.040273,           0.0063336,           0.0063336
                   2,            0.058177,            0.025146,             0.02423,             0.35065,             0.51577,              0.4155,             0.23574,             0.06152,            0.011032,            0.019163,           0.0097255,           0.0091194,           0.0091194
                   3,            0.053267,            0.023065,            0.020208,             0.41376,             0.61714,             0.47372,             0.28361,            0.050179,             0.01141,            0.017159,           0.0087625,           0.0087625,           0.0087625
                   4,            0.047989,            0.023411,            0.017688,             0.43545,             0.66609,                0.51,             0.30827,            0.046601,            0.010921,            0.015301,           0.0087625,           0.0087625,           0.0087625
                   5,            0.045276,            0.022231,            0.015651,             0.49772,             0.67806,             0.55226,             0.31261,            0.046798,            0.010927,            0.016914,             0.00835,             0.00835,             0.00835
                   6,               0.042,            0.020865,            0.015575,               0.541,             0.61749,              0.6002,             0.40449,            0.043756,            0.011092,            0.020518,           0.0079375,           0.0079375,           0.0079375
                   7,            0.040515,            0.020951,            0.014123,                0.65,              0.5768,             0.63198,             0.39081,            0.048289,             0.01127,             0.01892,            0.007525,            0.007525,            0.007525
                   8,            0.038941,            0.020554,            0.012413,             0.62608,             0.57586,             0.60319,             0.40765,            0.043658,            0.011358,             0.02139,           0.0071125,           0.0071125,           0.0071125
                   9,            0.036923,            0.020215,            0.012624,             0.65153,             0.58131,             0.58943,              0.4019,            0.042208,            0.011286,            0.019726,              0.0067,              0.0067,              0.0067
                  10,            0.036791,             0.02064,            0.011176,             0.71955,             0.55789,              0.6552,             0.43803,            0.040086,            0.011428,            0.017936,           0.0062875,           0.0062875,           0.0062875
                  11,            0.034467,             0.01935,            0.010664,              0.6104,             0.67577,             0.64975,             0.45402,            0.041278,            0.011438,            0.019368,            0.005875,            0.005875,            0.005875
                  12,            0.034007,            0.019026,             0.01019,             0.59095,             0.66381,             0.63891,             0.42828,            0.043133,            0.011612,            0.020831,           0.0054625,           0.0054625,           0.0054625
                  13,            0.031881,            0.018867,           0.0098902,              0.5662,             0.63343,             0.62871,             0.40788,            0.042484,            0.011976,            0.020263,             0.00505,             0.00505,             0.00505
                  14,            0.031952,            0.018554,           0.0086332,             0.63864,             0.65356,             0.65146,             0.46123,            0.041271,            0.012136,            0.019734,           0.0046375,           0.0046375,           0.0046375
                  15,            0.031248,            0.019487,           0.0090072,             0.58867,             0.64876,             0.62507,             0.42889,            0.039101,            0.012106,            0.023612,            0.004225,            0.004225,            0.004225
                  16,            0.030277,            0.018268,           0.0083896,             0.60745,             0.66249,             0.66057,             0.45172,            0.039714,            0.012166,            0.020315,           0.0038125,           0.0038125,           0.0038125
                  17,            0.029102,            0.018422,           0.0071792,             0.66833,             0.64034,             0.66648,             0.46215,             0.03876,            0.012369,            0.020734,              0.0034,              0.0034,              0.0034
                  18,            0.028699,            0.017188,           0.0078532,             0.59486,              0.7157,             0.66295,             0.46858,            0.037789,            0.012122,            0.021846,           0.0029875,           0.0029875,           0.0029875
                  19,            0.028292,             0.01759,           0.0066964,             0.63844,             0.69371,             0.68303,             0.46873,            0.037966,            0.012378,            0.021717,            0.002575,            0.002575,            0.002575
                  20,            0.025828,             0.01689,           0.0065967,             0.63725,             0.65422,             0.67443,             0.46959,            0.038213,            0.012472,            0.021228,           0.0021625,           0.0021625,           0.0021625
                  21,            0.024888,            0.016515,            0.006028,             0.66714,             0.66992,             0.67404,             0.47459,            0.038423,            0.012688,            0.020811,             0.00175,             0.00175,             0.00175
                  22,            0.023728,            0.015704,           0.0058978,             0.61987,             0.69274,             0.68144,             0.48844,              0.0385,            0.012484,            0.021166,           0.0013375,           0.0013375,           0.0013375
                  23,            0.023319,            0.015909,           0.0052937,             0.65931,             0.68265,             0.67006,             0.47673,            0.038255,             0.01269,            0.020477,            0.000925,            0.000925,            0.000925
