               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089342,            0.078203,                   0,             0.58114,             0.44763,             0.49742,             0.21509,            0.062922,            0.070089,                   0,            0.070085,           0.0033239,           0.0033239
                   1,            0.069808,            0.069835,                   0,              0.5107,             0.52089,             0.51981,             0.23193,            0.061259,            0.067346,                   0,            0.039821,           0.0063936,           0.0063936
                   2,            0.065917,            0.067516,                   0,             0.77073,             0.56172,             0.67186,             0.30596,            0.053849,            0.062953,                   0,           0.0092935,           0.0091993,           0.0091993
                   3,            0.061149,            0.066871,                   0,             0.80152,             0.61497,             0.74469,             0.38214,             0.04927,            0.060791,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.057496,            0.064441,                   0,             0.81779,             0.63768,             0.76599,             0.40306,            0.047137,            0.059151,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.054386,            0.063105,                   0,             0.83639,             0.66281,             0.79085,             0.43043,            0.045316,             0.05799,                   0,            0.008416,            0.008416,            0.008416
                   6,            0.053164,             0.06207,                   0,             0.84851,             0.68098,             0.79771,             0.44572,            0.042964,            0.056374,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.051071,            0.059909,                   0,             0.85306,               0.694,             0.80931,             0.46364,            0.041385,            0.054664,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.050095,             0.05903,                   0,             0.84963,             0.70676,             0.81877,             0.47923,            0.040464,            0.053712,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.048929,            0.059096,                   0,             0.85651,             0.71464,             0.82589,             0.48993,            0.040045,            0.053196,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.048223,            0.057859,                   0,             0.86095,             0.71972,             0.83651,              0.5021,            0.039335,            0.052255,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.047515,            0.056488,                   0,             0.86528,              0.7286,             0.84125,             0.50764,            0.039041,            0.051933,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.046736,            0.056515,                   0,             0.87064,             0.73325,             0.84741,             0.51666,            0.038474,            0.051413,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.046331,            0.056213,                   0,             0.86645,             0.74012,             0.84967,             0.52514,             0.03794,            0.050659,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.045712,            0.056045,                   0,             0.86795,             0.74221,             0.85425,             0.52982,            0.037905,             0.05041,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.045457,             0.05537,                   0,             0.88193,             0.73952,             0.85512,             0.53462,            0.037338,            0.049896,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.044958,            0.054907,                   0,             0.87639,             0.74888,              0.8602,             0.54117,            0.036959,            0.049364,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.044554,            0.054145,                   0,             0.86999,             0.74947,             0.85935,             0.54528,            0.036774,            0.049133,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.044193,            0.053839,                   0,             0.88218,             0.74818,             0.86148,             0.54976,            0.036531,            0.048641,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.043843,            0.053095,                   0,             0.87941,             0.75608,             0.86406,             0.55402,            0.036195,            0.048356,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.043883,            0.053652,                   0,             0.88121,             0.75758,              0.8649,             0.55596,            0.036071,            0.048074,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.043723,            0.052884,                   0,             0.87915,             0.76103,             0.86981,             0.56135,            0.035882,            0.047933,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.043584,            0.052494,                   0,             0.88297,             0.75977,             0.86922,             0.56321,            0.035702,            0.047483,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.043471,            0.052657,                   0,             0.88392,             0.76233,             0.87156,             0.56709,            0.035593,            0.047302,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.043205,            0.051725,                   0,             0.87982,             0.76706,              0.8716,             0.56705,            0.035481,            0.047169,                   0,            0.000892,            0.000892,            0.000892
